Country Group;Department;Subclass;Store Category;Total Stores Count;Avg Stcl Cnt;Store Count;Demand Avg;Demand Avg With Min/Max;Avg Stcl Cnt Max;Store Count;Demand Max;Demand Max With Min/Max;Avg Wsp Alokacyjny;Max Wsp Alokacyjny;Avg Wsp Alokacyjny With Min/Max;Max Wsp Alokacyjny With Min/Max
RUSSIA;accessories CROPP;M_swimwear;B;30;9;29;89,31;184,54;1;29;245,37;283,80;2,98;8,18;6,15;9,46
RUSSIA;accessories CROPP;M_swimwear;C;18;8;15;46,07;75,16;1;15;125,45;133,76;2,56;6,97;4,18;7,43
RUSSIA;accessories CROPP;M_swimwear;D;2;6;2;0,27;8,00;1;2;1,62;8,00;0,13;0,81;4,00;4,00
UE;accessories CROPP;M_swimwear;A;23;21;23;87,31;184,00;3;23;235,79;242,75;3,80;10,25;8,00;10,55
UE;accessories CROPP;M_swimwear;B;94;16;92;246,99;564,08;2;92;713,74;749,06;2,63;7,59;6,00;7,97
UE;accessories CROPP;M_swimwear;C;107;8;94;174,30;442,03;1;94;552,20;673,93;1,63;5,16;4,13;6,30
UE;accessories CROPP;M_swimwear;D;49;5;40;47,53;201,96;1;40;129,74;262,04;0,97;2,65;4,12;5,35
Non-UE;accessories CROPP;M_wallets;A;2;22;1;9,88;12,00;3;1;20,26;20,26;4,94;10,13;6,00;10,13
Non-UE;accessories CROPP;M_wallets;B;8;20;8;35,77;38,45;2;8;69,70;69,70;4,47;8,71;4,81;8,71
Non-UE;accessories CROPP;M_wallets;C;7;16;6;18,04;18,91;2;6;37,74;37,74;2,58;5,39;2,70;5,39
Non-UE;accessories CROPP;M_wallets;D;7;14;7;13,57;14,89;2;7;32,96;32,96;1,94;4,71;2,13;4,71
RUSSIA;accessories CROPP;M_wallets;A;6;18;6;30,44;38,02;2;6;56,55;57,47;5,07;9,42;6,34;9,58
RUSSIA;accessories CROPP;M_wallets;B;20;18;20;66,04;83,23;2;20;143,90;144,07;3,30;7,19;4,16;7,20
RUSSIA;accessories CROPP;M_wallets;C;30;15;30;82,75;87,23;2;30;177,17;177,17;2,76;5,91;2,91;5,91
RUSSIA;accessories CROPP;M_wallets;D;22;12;22;32,90;45,64;1;22;92,53;93,46;1,50;4,21;2,07;4,25
UE;accessories CROPP;M_wallets;A;48;22;47;326,30;337,29;3;47;690,92;690,92;6,80;14,39;7,03;14,39
UE;accessories CROPP;M_wallets;B;105;20;100;530,76;541,25;2;100;1044,76;1044,76;5,05;9,95;5,15;9,95
UE;accessories CROPP;M_wallets;C;92;16;86;358,92;362,01;2;86;663,50;665,64;3,90;7,21;3,93;7,24
UE;accessories CROPP;M_wallets;D;28;14;26;82,75;87,40;2;26;165,42;165,72;2,96;5,91;3,12;5,92
UE;accessories CROPP;foreign_brands;A;16;1;1;0,00;0,00;1;1;0,00;0,00;0,00;0,00;0,00;0,00
UE;accessories CROPP;foreign_brands;B;96;1;1;0,00;0,00;1;1;0,00;0,00;0,00;0,00;0,00;0,00
UE;accessories CROPP;foreign_brands;D;53;6;1;0,00;0,00;1;1;0,00;0,00;0,00;0,00;0,00;0,00
